keywords,1
financial,0.294172499
customers,0.183896972
identity,0.182330559
data,0.171678945
institutions,0.165726573
market,0.156328091
services,0.15288198
platforms,0.132831885
customer,0.130638905
digital,0.129072492
information,0.116854465
traditional,0.115914616
bank,0.11403492
world,0.111528658
insurance,0.107455982
risk,0.107455982
products,0.105263003
investors,0.095864521
payment,0.094924672
investment,0.093044976
economic,0.087405886
forum,0.085839473
capital,0.083646493
systems,0.075814425
management,0.07299488
lending,0.072681597
transactions,0.070175335
insurers,0.070175335
technology,0.064222963
dlt,0.064222963
potential,0.064222963
business,0.064222963
regulatory,0.062656549
intermediaries,0.057957308
solutions,0.055451046
service,0.054824481
incumbents,0.054824481
asset,0.054197915
global,0.052318219
platform,0.052318219
equity,0.050438522
fis,0.049811957
smart,0.049498674
credit,0.048245543
industry,0.04793226
trade,0.047305695
infrastructure,0.047305695
models,0.047305695
trading,0.046679129
transfer,0.046365847
transaction,0.045425998
automated,0.04448615
product,0.044172867
markets,0.043859585
banking,0.043859585
online,0.043546302
ecosystem,0.042606454
firms,0.042293171
attributes,0.042293171
deloitte,0.041353323
mobile,0.040100192
scale,0.040100192
crowdfunding,0.036967364
investor,0.036967364
distributed,0.036340799
core,0.03540095
impact,0.035087668
critical,0.035087668
focus,0.034774385
sources,0.034461102
network,0.034147819
contract,0.034147819
lenders,0.033521254
distribution,0.033521254
offer,0.033207971
capabilities,0.032894688
project,0.032894688
benefits,0.032581406
experience,0.031641557
development,0.031641557
schemes,0.031328275
lead,0.030701709
compliance,0.030701709
conditions,0.030701709
retrieved,0.030075144
settlement,0.029448578
innovation,0.029448578
shift,0.029448578
control,0.029448578
loan,0.029135295
retail,0.02850873
managers,0.026942316
fintechs,0.026629033
entity,0.026629033
competitive,0.026629033
innovations,0.026629033
companies,0.026315751
ledger,0.025689185
growth,0.025375902
cloud,0.01
ai, 0.001
intelligence, 0.001
